,kepid,amp_mass,amp_mass_err,amp_logg,amp_logg_err,amp_zams_teff,amp_zams_teff_err,basta_mass,basta_mass_err,basta_age,basta_age_err,basta_zams_teff,basta_zams_teff_err,spectroscopic_teff,spectroscopic_teff_err,spectroscopic_feh,spectroscopic_feh_err,period,period_err,note,Unnamed: 0,tm_designation,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,mass,mass_err1,mass_err2,radius,radius_err1,radius_err2,dens,dens_err1,dens_err2,prov_sec,kepmag,dist,dist_err1,dist_err2,nconfp,nkoi,ntce,datalink_dvr,st_delivname,st_vet_date_str,ra,dec,st_quarters,teff_prov,logg_prov,feh_prov,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,av,av_err1,av_err2,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance,B_V,prot,prot_err,prot_ref
0,3427720,1.1,0.02,7.07,0.46,4.295,5677,1.04,0.01,6.95,0.26,5668.0,5825,50,0.09,0.02,23.8,1.7,seismic,,4198,2MASS J19054526+3831225,6040,84.0,-84.0,4.378,0.012,-0.012,-0.03,0.09,-0.09,1.08,0.06,-0.06,1.12,0.02,-0.02,1.101,0.0369,-0.03592,MULT10,9.109,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,286.4386,38.52293,11111111111111111,SPE6,AST10,SPE6,8.094,0.02,7.843,0.016,7.8260000000000005,0.017,0.8742,1459.789,7.1,9.101,14.35,22.706999999999997,22.901,20.515,24.237,19.837,15.11,12.663,10.831,9.433,8.915,7.1,20.581999999999997,19.015,18.576,17.743,17.375999999999998,16.476,16.049,15.588,15.169,14.975,14.880999999999998,14.890999999999998,14.95,15.414000000000001,,,,-2147483648,b'3120-967-1  ',1635378410781933568,2099985398515640320,133899,2015.0,286.4382667674018,0.13639692142846058,38.522638116906414,0.20844619046096013,10.514063487020985,0.2575648328523613,-59.91492061433246,1.1401483804742842,-71.05327323063946,0.8400646303379133,-0.22316764295101169,-0.1212896853685379,-0.2568186819553375,0.06976179033517838,0.7463250756263733,-0.4977721273899078,-0.571544885635376,-0.6343338489532471,-0.5289952754974365,0.19367167353630066,86,86,86,83,0,3,,0.3368218880779604,122.80143763782408,False,3.414226531982422,7.961395263671875,1.872868597274646e-05,5,12,False,0.6308059692382812,0.30598756670951843,0.5160326957702637,0.5010953545570374,-110.2307586669922,50.87104034423828,0.16456352174282074,-21.93305206298828,94,4087927.309048949,2437.4849599457543,8.996012152261425,b'NOT_AVAILABLE',69.37429248181944,13.918073920879376,296.6726563905072,60.448748670217974,1.1823609353338895e-05,0.5489019044842678,0.0,0.0,0.0
1,3427720,1.13,0.04,2.23,0.17,4.388,5985,1.12,0.02,2.22,0.31,6019.0,6040,84,-0.03,0.09,13.9,2.1,seismic,,4198,2MASS J19054526+3831225,6040,84.0,-84.0,4.378,0.012,-0.012,-0.03,0.09,-0.09,1.08,0.06,-0.06,1.12,0.02,-0.02,1.101,0.0369,-0.03592,MULT10,9.109,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,286.4386,38.52293,11111111111111111,SPE6,AST10,SPE6,8.094,0.02,7.843,0.016,7.8260000000000005,0.017,0.8742,1459.789,7.1,9.101,14.35,22.706999999999997,22.901,20.515,24.237,19.837,15.11,12.663,10.831,9.433,8.915,7.1,20.581999999999997,19.015,18.576,17.743,17.375999999999998,16.476,16.049,15.588,15.169,14.975,14.880999999999998,14.890999999999998,14.95,15.414000000000001,,,,-2147483648,b'3120-967-1  ',1635378410781933568,2099985398515640320,133899,2015.0,286.4382667674018,0.13639692142846058,38.522638116906414,0.20844619046096013,10.514063487020985,0.2575648328523613,-59.91492061433246,1.1401483804742842,-71.05327323063946,0.8400646303379133,-0.22316764295101169,-0.1212896853685379,-0.2568186819553375,0.06976179033517838,0.7463250756263733,-0.4977721273899078,-0.571544885635376,-0.6343338489532471,-0.5289952754974365,0.19367167353630066,86,86,86,83,0,3,,0.3368218880779604,122.80143763782408,False,3.414226531982422,7.961395263671875,1.872868597274646e-05,5,12,False,0.6308059692382812,0.30598756670951843,0.5160326957702637,0.5010953545570374,-110.2307586669922,50.87104034423828,0.16456352174282074,-21.93305206298828,94,4087927.309048949,2437.4849599457543,8.996012152261425,b'NOT_AVAILABLE',69.37429248181944,13.918073920879376,296.6726563905072,60.448748670217974,1.1823609353338895e-05,0.5489019044842678,0.0,0.0,0.0
2,9139151,1.06,0.02,6.82,0.28,4.36,5629,0.998,0.005,7.02,0.14,5592.0,5750,50,0.05,0.02,23.2,7.4,seismic,,10669,2MASS J18562126+4530531,6125,84.0,-84.0,4.377,0.012,-0.012,0.11,0.09,-0.09,1.17,0.06,-0.06,1.16,0.02,-0.02,1.055,0.03578,-0.03606,MULT10,9.181000000000001,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,284.08859,45.514751000000004,11111111111111111,SPE6,AST10,SPE6,8.238,0.032,7.968,0.018000000000000002,7.952000000000001,0.016,0.8745,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,21.51,20.333,20.285,19.82,19.715,19.566,19.473,19.69,20.191,20.74,21.338,22.046999999999997,22.342,24.304000000000002,,,,92961,b'            ',1635378410781933568,2106822127456922752,1814017,2015.0,284.0887340494636,0.19777335560535814,45.515033057548806,0.17678692968548015,9.6061288899313,0.2295790082578067,22.83239001221899,0.13067707394777175,58.82484348802964,0.12613054767263968,-0.414882242679596,-0.6904336214065552,-0.001445508562028408,0.026954784989357,0.4349473714828491,-0.10069137066602707,-0.11905856430530548,-0.14908364415168762,-0.09039238840341568,0.11849749833345412,107,107,107,105,0,2,0.6602193713188171,0.3604909839277524,251.3261602894015,False,3.6341898441314697,7.055233001708984,2.4441396817564964e-05,3,15,False,0.2840099334716797,0.2373617887496948,0.21229663491249084,0.08318878710269928,-150.15530395507812,58.02334213256836,-5.9975266456604,-20.663894653320312,123,3698571.604802131,4220.752428169092,9.104684986055501,b'NOT_AVAILABLE',75.42555754481555,18.175924943664004,296.65753600056007,67.65480241281033,3.740700087759106e-05,0.5407448945582471,0.0,0.0,0.0
3,9139151,1.14,0.03,1.71,0.19,4.376,6092,1.16,0.02,1.79,0.46,6019.0,6125,84,0.11,0.09,11.0,2.2,seismic,,10669,2MASS J18562126+4530531,6125,84.0,-84.0,4.377,0.012,-0.012,0.11,0.09,-0.09,1.17,0.06,-0.06,1.16,0.02,-0.02,1.055,0.03578,-0.03606,MULT10,9.181000000000001,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,284.08859,45.514751000000004,11111111111111111,SPE6,AST10,SPE6,8.238,0.032,7.968,0.018000000000000002,7.952000000000001,0.016,0.8745,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,21.51,20.333,20.285,19.82,19.715,19.566,19.473,19.69,20.191,20.74,21.338,22.046999999999997,22.342,24.304000000000002,,,,92961,b'            ',1635378410781933568,2106822127456922752,1814017,2015.0,284.0887340494636,0.19777335560535814,45.515033057548806,0.17678692968548015,9.6061288899313,0.2295790082578067,22.83239001221899,0.13067707394777175,58.82484348802964,0.12613054767263968,-0.414882242679596,-0.6904336214065552,-0.001445508562028408,0.026954784989357,0.4349473714828491,-0.10069137066602707,-0.11905856430530548,-0.14908364415168762,-0.09039238840341568,0.11849749833345412,107,107,107,105,0,2,0.6602193713188171,0.3604909839277524,251.3261602894015,False,3.6341898441314697,7.055233001708984,2.4441396817564964e-05,3,15,False,0.2840099334716797,0.2373617887496948,0.21229663491249084,0.08318878710269928,-150.15530395507812,58.02334213256836,-5.9975266456604,-20.663894653320312,123,3698571.604802131,4220.752428169092,9.104684986055501,b'NOT_AVAILABLE',75.42555754481555,18.175924943664004,296.65753600056007,67.65480241281033,3.740700087759106e-05,0.5407448945582471,0.0,0.0,0.0
4,3656476,1.17,0.03,8.13,0.59,4.246,5642,1.07,0.01,7.68,0.42,5525.0,5710,84,0.25,0.09,31.7,3.5,seismic,,3918,2MASS J19364879+3842568,5710,84.0,-84.0,4.225,0.008,-0.008,0.34,0.09,-0.09,1.1,0.05,-0.06,1.34,0.03,-0.03,0.6462,0.01535,-0.014790000000000001,MULT10,9.516,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,294.20331,38.715778,11111011101110111,SPE6,AST10,SPE6,8.382,0.024,8.083,0.022000000000000002,8.008,0.017,0.6986,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,29.115,26.338,25.364,23.948,23.169,21.595,20.958000000000002,19.974,18.914,18.058,17.483,16.965999999999998,16.863,16.465,,,,-2147483648,b'3135-624-1  ',1635378410781933568,2052184508460077696,453372,2015.0,294.2039113396131,0.13829968482761745,38.71590799396357,0.2540543878065188,8.632488770193698,0.2831485001237441,97.33435687478158,1.3886777804205497,32.729120697033004,0.939904813081473,0.24225811660289764,0.42863208055496216,-0.3501702845096588,-0.3047410845756531,0.4146285355091095,-0.5636875629425049,-0.4922368228435517,-0.7951748371124268,-0.13916797935962674,0.2024285942316056,71,71,70,70,1,1,,0.4021174207927267,218.27545992593525,False,4.023593425750732,5.710314750671388,2.460668110870756e-05,5,11,False,0.7814998626708984,0.4505488276481629,0.37489452958107,0.19511453807353973,-102.85340881347656,87.17415618896484,31.808874130249023,-4.138021945953368,86,2779497.088851876,2917.934478652536,9.41485450506566,b'NOT_AVAILABLE',72.25348721700036,8.545948356572755,308.3625957179896,58.973845037219384,6.395835125203452e-05,0.6859012834295504,31.67,3.53,chaplin_garcia.csv
5,5184732,1.27,0.04,4.17,0.4,4.27,5905,1.18,0.02,4.05,0.42,5810.0,5840,84,0.38,0.09,19.8,2.4,seismic,,5306,2MASS J19243033+4019237,5840,84.0,-84.0,4.258,0.009000000000000001,-0.009000000000000001,0.38,0.09,-0.09,1.17,0.06,-0.06,1.33,0.03,-0.03,0.7009,0.01704,-0.01718,MULT10,8.165,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,291.12637,40.323260999999995,11111111111111111,SPE6,AST10,SPE6,7.119,0.02,6.893,0.021,6.8210000000000015,0.016,0.8742,1459.769,7.1,10.712,11.33,12.610999999999999,14.609000000000002,12.004000000000001,11.36,9.758,8.227,7.1,7.1,7.1,7.1,7.1,26.874000000000002,25.309,24.997,24.162,23.826999999999998,22.875,22.47300000000001,22.044,21.811999999999998,21.941999999999997,22.131,22.375999999999998,22.462,23.018,,,,-2147483648,b'3138-636-1  ',1635378410781933568,2101493035115409024,1015729,2015.0,291.1264881351658,0.1799180079542887,40.32307293188315,0.2282519222926605,14.192796675998304,0.2622882558813234,6.441189153143033,0.5536045550658613,-40.82207678220056,0.5225582660966498,-0.3028966784477234,-0.304144024848938,-0.2547929883003235,0.10645073652267456,0.6384545564651489,-0.21884825825691226,-0.4333312809467316,-0.3948622941970825,-0.25272002816200256,0.14442920684814453,71,71,71,68,0,3,,0.3974125581842144,52.970301959635925,False,1.8277134895324707,5.54740047454834,7.07189201420988e-06,5,12,False,0.4192744493484497,0.10994072258472444,0.3084526062011719,0.4933301210403442,-143.99325561523438,54.12347793579102,5.82981538772583,-13.736915588378904,80,9218462.706197044,6298.165022688219,8.113123806185072,b'NOT_AVAILABLE',72.60985450702374,11.39090490194444,304.82009893323226,61.23305725758535,6.57344040879956e-05,0.6503670972301743,19.79,2.43,chaplin_garcia.csv
6,6116048,1.01,0.03,6.23,0.37,4.27,5838,1.06,0.02,5.54,0.34,5943.0,5935,84,-0.24,0.09,17.3,2.0,seismic,,6322,2MASS J19174635+4124366,5935,84.0,-84.0,4.269,0.008,-0.008,-0.24,0.09,-0.09,1.0,0.06,-0.05,1.21,0.03,-0.03,0.7886,0.01845,-0.01859,MULT10,8.418,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,289.44318,41.410179,11111111111111111,SPE6,AST10,SPE6,7.438,0.044000000000000004,7.178999999999999,0.026000000000000002,7.121,0.017,0.8742,1459.769,7.1,7.1,8.057,10.019,10.640999999999998,9.189,8.669,8.234,10.583,9.193999999999999,7.135,7.106,7.142,7.1,21.338,19.750999999999998,19.265,18.311,17.833,16.875,16.451,15.927999999999999,15.337,15.136,15.091,15.132,15.157,15.51,,,,-2147483648,b'3129-3278-1 ',1635378410781933568,2101479875339251968,685704,2015.0,289.44289335899407,0.1454631943639315,41.410542875727856,0.21153574530200056,13.306374689264267,0.2273759148841664,-46.66483239026564,0.7924391876979521,74.42711756538017,0.7201624469934963,0.07119923830032349,0.11256974935531616,-0.2698700428009033,-0.21136358380317688,0.27643829584121704,-0.3500472605228424,-0.3883552849292755,-0.6494943499565125,-0.18850143253803253,0.16654039919376373,99,99,99,98,0,1,,0.33837262028871506,85.84985491881417,False,3.4286000728607178,7.2984514236450195,1.0943273082375526e-05,5,15,False,0.5436245799064636,0.2989560663700104,0.1407119482755661,0.1202414259314537,-108.11973571777344,81.3730697631836,4.75173282623291,3.0787181854248047,117,7525817.959606643,6953.478184237551,8.333385791203035,b'NOT_AVAILABLE',73.05465633288355,13.007813796671519,302.90969820841593,62.64597530168084,5.7553151008037315e-05,0.5556578447637355,17.26,1.96,chaplin_garcia.csv
7,6196457,1.23,0.04,5.51,0.71,4.053,6064,1.21,0.02,5.52,0.5,5991.0,5871,94,0.17,0.11,16.4,1.2,KOI,,7058,2MASS J19162065+4133465,5871,94.0,-94.0,4.055,0.011000000000000001,-0.011000000000000001,0.17,0.109,-0.109,1.207,0.084,-0.084,1.703,0.048,-0.048,0.3422,0.01124,-0.01124,MULT8,11.565,,,,3,3,3,006/006196/006196457/dv/kplr006196457-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,289.0860600000001,41.562958,11111111111111111,SPE8,AST8,SPE8,10.747,0.023,10.47,0.021,10.402999999999999,0.018000000000000002,0.8752,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,48.938,44.327,42.548,40.139,38.679,35.779,34.667,33.118,31.655,30.619,29.95300000000001,29.570999999999998,29.54,29.636999999999997,,,,-2147483648,b'3129-2750-1 ',1635378410781933568,2102224657027178752,567667,2015.0,289.0860606640592,0.1439947960886188,41.56302043084289,0.20732548556765595,2.470681937152209,0.2832776964320949,-0.8895009555312701,1.0617912302621209,14.637867659179914,0.6957999081018473,0.4013486802577973,0.4736806750297546,-0.5992539525032043,-0.2931306064128876,0.7856508493423462,-0.7093453407287598,-0.4957603812217712,-0.847538948059082,-0.3968363404273987,0.24156591296195984,88,88,88,81,0,7,,0.3670902378248658,113.9134889931128,False,3.695723056793213,7.157833576202393,2.6268289730069228e-05,5,14,False,0.25511908531188965,0.14249879121780396,0.24593110382556915,0.1885115206241608,-82.3948974609375,55.02281951904297,1.3478554487228394,-15.941607475280762,110,348869.66349624697,225.82247754514947,11.668112047994615,b'NOT_AVAILABLE',73.08204510857341,13.314392719971176,302.44576035364787,62.86868768468938,4.442867577028669e-06,0.6139957518927819,0.0,0.0,0.0
8,6521045,1.04,0.02,6.24,0.37,4.118,5933,1.11,0.02,6.5,0.51,5886.0,5825,75,0.02,0.1,25.3,2.8,KOI,,7465,2MASS J19253263+4159249,5825,75.0,-75.0,4.125,0.009000000000000001,-0.009000000000000001,0.02,0.10099999999999999,-0.10099999999999999,1.08,0.063,-0.063,1.49,0.035,-0.035,0.4574,0.01252,-0.01252,MULT8,11.197000000000001,,,,3,3,3,006/006521/006521045/dv/kplr006521045-20141002224145_dvr.pdf,q1_q17_dr24_stellar,2015-01-15,291.38599,41.990269,11111111111111111,SPE8,AST8,SPE8,10.081,0.021,9.804,0.017,9.767999999999999,0.013999999999999999,0.8752,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,40.064,36.43,35.055,33.085,31.899,29.671999999999997,28.739,27.340999999999998,25.994,25.063000000000002,24.531999999999996,24.076999999999998,24.009,23.975,,,,-2147483648,b'3142-407-1  ',1635378410781933568,2101733244046205568,314427,2015.0,291.38612563243464,0.13782434645069191,41.99014334047264,0.20473772463911435,3.1537916356125892,0.2570754026070033,19.77687615819443,1.0357020875660226,-27.85938806995777,0.6848959844244337,0.30909594893455505,0.3629849553108215,-0.4798015356063843,-0.2482271790504456,0.5745167136192322,-0.5718327760696411,-0.426027238368988,-0.8195790648460388,-0.1423877626657486,-0.0627477765083313,125,125,123,122,2,3,,0.40011311959141904,238.17686994968759,False,4.004779815673828,5.785419940948486,3.061094685108401e-05,5,20,False,0.3233529329299927,0.2275534421205521,0.13902489840984344,0.05019619315862656,-81.33438873291016,63.48046493530274,18.283931732177734,11.20743179321289,156,615902.9970752378,1747.1969866651236,11.050989270248813,b'NOT_AVAILABLE',74.22763334288933,11.945158497815347,306.30776883050095,62.759417702122434,2.0749708040965425e-05,0.6121565542674059,0.0,0.0,0.0
